#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Lyz2	Sfpi1	2108309	2093346	10090.ENSMUSP00000089801	10090.ENSMUSP00000002180	0	0	0	0	0.132	0	0.528	0.436	0.749
Psmb8	H2-K1	2096210	2096205	10090.ENSMUSP00000025196	10090.ENSMUSP00000025181	0	0	0	0	0.558	0	0	0.454	0.748
C1qb	Ly86	2100338	2095315	10090.ENSMUSP00000040246	10090.ENSMUSP00000021860	0	0	0	0	0.655	0	0	0.295	0.747
Cd68	Aif1	2111140	2096236	10090.ENSMUSP00000104294	10090.ENSMUSP00000025257	0	0	0	0	0.374	0	0	0.606	0.743
Retnla	Arg1	2095795	2094779	10090.ENSMUSP00000023329	10090.ENSMUSP00000020161	0	0	0	0	0	0	0	0.743	0.743
Lyz2	Tyrobp	2108309	2098577	10090.ENSMUSP00000089801	10090.ENSMUSP00000032800	0	0	0	0	0.705	0	0	0.152	0.739
Cd14	Ccl2	2103283	2093070	10090.ENSMUSP00000056669	10090.ENSMUSP00000000193	0	0	0	0	0.364	0	0	0.607	0.739
Fn1	Itgb2	2102911	2093087	10090.ENSMUSP00000054499	10090.ENSMUSP00000000299	0	0	0	0	0	0.189	0.428	0.481	0.738
Tyrobp	Aif1	2098577	2096236	10090.ENSMUSP00000032800	10090.ENSMUSP00000025257	0	0	0	0	0.664	0	0	0.246	0.736
Bst2	Usp18	2102451	2098409	10090.ENSMUSP00000051921	10090.ENSMUSP00000032198	0	0	0	0	0.682	0	0	0.187	0.731
Psmb9	H2-K1	2114455	2096205	10090.ENSMUSP00000133499	10090.ENSMUSP00000025181	0	0	0	0	0.531	0	0	0.447	0.729
Ctss	C1qb	2112192	2100338	10090.ENSMUSP00000112006	10090.ENSMUSP00000040246	0	0	0	0	0.612	0	0	0.321	0.725
Irgm1	Cxcl10	2102210	2101692	10090.ENSMUSP00000050446	10090.ENSMUSP00000047646	0	0	0	0	0.625	0	0	0.295	0.724
Lgals3bp	Oasl2	2099471	2098226	10090.ENSMUSP00000035579	10090.ENSMUSP00000031542	0	0	0	0	0.723	0	0	0	0.723
C1qc	Ly86	2099670	2095315	10090.ENSMUSP00000036747	10090.ENSMUSP00000021860	0	0	0	0	0.657	0	0	0.223	0.722
Fcgr3	Cd68	2114228	2111140	10090.ENSMUSP00000131938	10090.ENSMUSP00000104294	0	0	0	0	0.561	0	0	0.393	0.722
Neurod1	Nr4a1	2100364	2095944	10090.ENSMUSP00000040364	10090.ENSMUSP00000023779	0	0	0	0	0	0.469	0	0.496	0.721
Cd53	Tyrobp	2099503	2098577	10090.ENSMUSP00000035781	10090.ENSMUSP00000032800	0	0	0	0	0.683	0	0	0.154	0.72
Ctss	C1qa	2112192	2101938	10090.ENSMUSP00000112006	10090.ENSMUSP00000048836	0	0	0	0	0.608	0	0	0.317	0.72
C4b	Serping1	2105191	2095997	10090.ENSMUSP00000069418	10090.ENSMUSP00000023994	0	0	0	0	0.313	0	0	0.607	0.718
Apoc2	Apoc4	2093455	2093454	10090.ENSMUSP00000003074	10090.ENSMUSP00000003071	0	0	0	0	0.34	0	0	0.587	0.716
Ctss	Ly86	2112192	2095315	10090.ENSMUSP00000112006	10090.ENSMUSP00000021860	0	0	0	0	0.667	0	0	0.176	0.714
Spp1	Vim	2107626	2097089	10090.ENSMUSP00000084043	10090.ENSMUSP00000028062	0	0	0	0	0.133	0	0	0.684	0.714
Anxa2	S100a4	2099236	2093178	10090.ENSMUSP00000034756	10090.ENSMUSP00000001046	0	0	0	0	0.237	0.111	0	0.612	0.714
Hcls1	Itgb2	2095863	2093087	10090.ENSMUSP00000023531	10090.ENSMUSP00000000299	0	0	0	0	0.552	0.092	0.297	0.119	0.714
Ppp1r1b	Drd2	2106663	2106210	10090.ENSMUSP00000077760	10090.ENSMUSP00000075170	0	0	0	0	0.136	0	0	0.682	0.713
Tyrobp	Ms4a6d	2098577	2096341	10090.ENSMUSP00000032800	10090.ENSMUSP00000025582	0	0	0	0	0.7	0	0	0.084	0.713
Actn2	Psmb8	2104973	2096210	10090.ENSMUSP00000067708	10090.ENSMUSP00000025196	0	0	0	0	0.042	0.712	0	0	0.712
Fcer1g	Hcls1	2106889	2095863	10090.ENSMUSP00000078875	10090.ENSMUSP00000023531	0	0	0	0	0.41	0	0.528	0	0.71
Ctss	Cd68	2112192	2111140	10090.ENSMUSP00000112006	10090.ENSMUSP00000104294	0	0	0	0	0.519	0	0	0.421	0.709
Gnrh1	H2-T23	2111494	2110335	10090.ENSMUSP00000106724	10090.ENSMUSP00000099739	0	0	0	0	0.053	0	0	0.706	0.709
Lgals3	Cd68	2112495	2111140	10090.ENSMUSP00000114350	10090.ENSMUSP00000104294	0	0	0	0	0.524	0.062	0	0.399	0.708
Isg15	Cxcl10	2107452	2101692	10090.ENSMUSP00000082548	10090.ENSMUSP00000047646	0	0	0	0	0.39	0	0	0.542	0.708
Lgals3	Fn1	2112495	2102911	10090.ENSMUSP00000114350	10090.ENSMUSP00000054499	0	0	0	0	0	0.061	0	0.701	0.708
Cxcl10	Oasl2	2101692	2098226	10090.ENSMUSP00000047646	10090.ENSMUSP00000031542	0	0	0	0	0.579	0	0	0.332	0.707
Nr4a1	Rxrg	2095944	2094328	10090.ENSMUSP00000023779	10090.ENSMUSP00000015987	0	0	0	0.764	0	0.372	0.528	0.254	0.707
Mapk12	Ptpn18	2107875	2096859	10090.ENSMUSP00000086207	10090.ENSMUSP00000027302	0	0	0	0	0.053	0.486	0.209	0.326	0.705
Ctss	C1qc	2112192	2099670	10090.ENSMUSP00000112006	10090.ENSMUSP00000036747	0	0	0	0	0.626	0	0	0.243	0.705
Ms4a6d	Ly86	2096341	2095315	10090.ENSMUSP00000025582	10090.ENSMUSP00000021860	0	0	0	0	0.6	0	0	0.29	0.704
Cxcl10	Myd88	2101692	2099353	10090.ENSMUSP00000047646	10090.ENSMUSP00000035092	0	0	0	0	0.149	0	0	0.667	0.704
Ctss	Lyz2	2112192	2108309	10090.ENSMUSP00000112006	10090.ENSMUSP00000089801	0	0	0	0	0.644	0	0	0.201	0.703
S100a6	S100a4	2093181	2093178	10090.ENSMUSP00000001051	10090.ENSMUSP00000001046	0	0	0	0.944	0.685	0.061	0	0.672	0.703
Gngt2	Gnal	2101681	2096283	10090.ENSMUSP00000047586	10090.ENSMUSP00000025402	0	0	0	0	0.043	0.35	0.492	0.17	0.702
Spp1	S100a4	2107626	2093178	10090.ENSMUSP00000084043	10090.ENSMUSP00000001046	0	0	0	0	0.31	0	0	0.585	0.701
C1qa	Ly86	2101938	2095315	10090.ENSMUSP00000048836	10090.ENSMUSP00000021860	0	0	0	0	0.648	0	0	0.182	0.7
Usp18	Ifi35	2098409	2094072	10090.ENSMUSP00000032198	10090.ENSMUSP00000010502	0	0	0	0	0.614	0	0	0.254	0.7
